Batch,Pageno,Company_Name,Website,LinkedIn
Distro_1,1,N/A,N/A,N/A
Distro_1,2,Flic,http://flic.io,N/A
Distro_1,2,Focus At Will Labs,http://www.focusatwill.com,N/A
Distro_1,2,Glambot,http://www.glambot.com,N/A
Distro_1,2,Greenq,http://greenq.gq,https://www.linkedin.com/company/greenq-technologies/
Distro_1,2,Hey Cater,http://www.heycater.com,N/A
Distro_1,2,Houst,http://www.houst.com,N/A
Distro_1,2,Hubble,http://hubblehq.com,N/A
Distro_1,2,Kairos AR,http://www.kairos.com,N/A
Distro_1,2,Leaselock,http://leaselock.com,N/A
Distro_1,2,Luxe Nomad,http://theluxenomad.com,N/A
Distro_1,3,Movivo,http://www.newpath.com,https://www.linkedin.com/company/newpath-com/about/
Distro_1,3,Mxhero,http://www.mxhero.com,N/A
Distro_1,3,Ofi,http://www.ofinow.com,N/A
Distro_1,3,PaceMaker,http://pacemaker.net,N/A
Distro_1,3,Pop.in,http://pop.in,https://linkedin.com/company/smiletime
Distro_1,3,Qunomedical,http://www.qunomedical.com,N/A
Distro_1,3,Rocket,http://rocket.la,N/A
Distro_1,3,Sampler,http://www.sampler.io,N/A
Distro_1,3,Shopeando,http://www.shopeando.mx,N/A
Distro_1,3,SimplyCook,http://simplycook.com,N/A
Distro_1,4,Fanbread,http://fanbread.com,N/A
Distro_1,4,Studypool,http://www.studypool.com,N/A
Distro_1,4,Studysoup,http://studysoup.com,N/A
Distro_1,4,Talkable,http://www.talkable.com,https://www.linkedin.com/company/talkable/
Distro_1,4,Thriva,http://thriva.co,N/A
Distro_1,4,Ticket Fairy,http://www.ticketfairy.com,https://www.linkedin.com/company/the-ticket-fairy
Distro_1,4,Timely,http://timelyapp.com,N/A
Distro_1,4,Truly Experiences,http://trulyexperiences.com,N/A
Distro_1,4,Ubeya,http://www.ubeya.com,N/A
Distro_1,4,Xwork,http://xwork.co,N/A
Distro_1,5,Codec,http://www.codec.ai,https://www.linkedin.com/company/codecai
Distro_1,5,JobPal,http://jobpal.ai,N/A
Distro_1,5,MyLife,http://www.stopbreathethink.com,N/A
Distro_1,5,ONDiGO,http://ondigo.me,N/A
Distro_1,5,Pongalo,http://www.pongalo.com,N/A
Distro_1,5,postcron,http://socialtools.me,N/A
Distro_1,5,Storemaven,http://www.storemaven.com,N/A
Distro_1,5,Swychd,http://gradible.com,N/A
Distro_1,5,TRDATA,http://trdata.com,N/A
Distro_1,5,Turnstyle,http://getturnstyle.com,N/A
Dojo_I,1,N/A,N/A,N/A
Dojo_II,1,At-home-doc,http://at-home-doc.com,https://www.linkedin.com/company/medihealth-solutions-qatar
Dojo_II,1,Eyewa,http://eyewa.com,https://www.linkedin.com/company/eyewa
Dojo_II,1,Gymnadz,http://gymnadz.com,https://www.linkedin.com/company/gymnadz
Dojo_II,1,Keno,http://www.keno.ae,https://www.linkedin.com/company/kenoapp
Dojo_II,1,Melltoo,http://melltoo.com,N/A
Dojo_II,1,Mr. Draper,http://www.mrdraper.com,https://www.linkedin.com/company/mr-draper
Dojo_II,1,Myu,http://myu.co,https://www.linkedin.com/company/myu
Dojo_II,1,Nawah Scientific,http://nawah-scientific.com,https://www.linkedin.com/company/nawah-scientific
Dojo_II,1,PlantShop.me,https://www.plantshop.me/ae-en/,https://www.linkedin.com/company/plantshop-ae
Dojo_II,1,Vbout,http://www.vbout.com,https://www.linkedin.com/company/vbout
Dojo_III,1,Algodriven,http://algodriven.xyz,https://www.linkedin.com/company/algodriven
Dojo_III,1,Coded,http://www.joincoded.com,https://www.linkedin.com/school/coded.
Dojo_III,1,Dailymealz,http://dailymealz.com,https://www.linkedin.com/company/dailymealz
Dojo_III,1,Fatora,http://maktapp.com,N/A
Dojo_III,1,Garment IO,http://garment.io,https://www.linkedin.com/company/garmentio
Dojo_III,1,Jobedu,http://jobedu.com,https://www.linkedin.com/company/jo-bedu
Dojo_III,1,Keepface,http://keepface.com,https://www.linkedin.com/company/keepface-influencer-marketing-platform
Egypt_Scale_Up1,1,Khazenly,http://khazenly.com,N/A
Egypt_Scale_Up1,1,Nowlun.com,http://www.nowlun.com,N/A
Egypt_Scale_Up1,1,Khazenly,http://khazenly.com,N/A
Egypt_Scale_Up1,1,Nowlun.com,http://www.nowlun.com,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Egypt_Scale_Up1,1,Khazenly,http://khazenly.com,N/A
Egypt_Scale_Up1,1,Nowlun.com,http://www.nowlun.com,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Egypt_Scale_Up1,1,Khazenly,http://khazenly.com,N/A
Egypt_Scale_Up1,1,Nowlun.com,http://www.nowlun.com,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Egypt_Scale_Up1,1,Khazenly,http://khazenly.com,N/A
Egypt_Scale_Up1,1,Nowlun.com,http://www.nowlun.com,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_7,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_8,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
Eurasia_9,1,N/A,N/A,N/A
GA_10,1,Carelulu,http://www.carelulu.com,N/A
GA_10,1,Optimize Health,http://rainlocal.com,N/A
GA_10,1,Promolta,http://www.promolta.com,N/A
