id,name,slug,batch,status,one_liner,long_description,website,ycdc_company_url,all_locations,team_size,industry,subindustry,industries,tags,regions,stage,top_company,isHiring,nonprofit,former_names,small_logo_thumb_url,launched_at
982,Embark Trucks,embark-trucks,Winter 2016,Public,Self-driving semi trucks.,"Embark Technology develops self-driving truck software. 

Embark was the first self-driving truck company to achieve an autonomous coast-to-coast drive, the first to reach 100,000 miles driven on public roads, and the first to open a network of transfer points.

Embark went public on NASDAQ in 2021 and was acquired by Applied Intuition in 2023.",http://embarktrucks.com,https://www.ycombinator.com/companies/embark-trucks,"San Francisco, CA, USA",300,Industrials,Industrials -> Automotive,"Industrials, Automotive",Autonomous Trucking,"United States of America, America / Canada, Remote, Partly Remote",Growth,False,False,False,"Varden Labs, Embark Trucks",https://bookface-images.s3.amazonaws.com/small_logos/7f54038f84e639bce5c45d1756018b94f17f6125.png,1447199416
1005,Truebill,truebill,Winter 2016,Acquired,Live your best financial life,"Rocket Money (formerly Truebill) is a leading personal finance app that analyzes members' spending habits, identifies inefficiencies, and offers immediate methods to improve their financial health. It enables people to optimize their spending, manage subscriptions, lower their bills, and automatically set aside money to reach their savings goals. Truebill has saved members more than $100 million since 2016 and is headquartered in Silver Spring, Maryland, with offices in San Francisco. 

Truebill's mission is to empower people to live their best financial lives. Truebill offers members a unique understanding of their finances and a suite of valuable services that save them time and money - ultimately giving them a leg up on their financial journey. 

Truebill is backed by Accel, Bessemer Venture Partners, Eldridge Industries, and YCombinator.",https://www.truebill.com,https://www.ycombinator.com/companies/truebill,"Silver Spring, MD, USA",225,Fintech,Fintech -> Consumer Finance,"Fintech, Consumer Finance",Fintech,"United States of America, America / Canada, Remote, Partly Remote",Growth,True,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/fae52e07d79df342dcfc28d120038d2083ae0679.png,1447311015
1058,Caper,caper,Winter 2016,Acquired,Plug-and-play cashier-less retail powered by computer vision and AI,"Caper focuses on compacting Amazon-Go's technology (image recognition, sensor fusion and artificial intelligence) into a smart shopping cart, allowing each shopper to throw her groceries into the cart and self-checkout without cashiers. The technology is looking to fundamentally transform physical retail and rapidly scale into existing grocery stores.",https://www.caper.ai/,https://www.ycombinator.com/companies/caper,,15,B2B,B2B -> Retail,"B2B, Retail","Artificial Intelligence, Cashierless Checkout, Computer Vision, Retail Tech",Unspecified,Growth,True,False,False,QueueHop,https://bookface-images.s3.amazonaws.com/small_logos/45034c22d81491a4e49c2c46c3c822d2d820941d.png,1447654816
1067,NURX,nurx,Winter 2016,Acquired,"Medicine or testing kit, prescribed online and delivered to your door.","Nurx is a telemedicine startup focused on increasing access to healthcare, starting with birth control and PrEP services.",https://www.nurx.com/,https://www.ycombinator.com/companies/nurx,"New York City, NY, USA; San Francisco, CA, USA",300,Healthcare,Healthcare -> Consumer Health and Wellness,"Healthcare, Consumer Health and Wellness",Consumer Health Services,"United States of America, America / Canada, Remote, Partly Remote",Growth,True,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/e30eef55b4ffb18884d227d20476b264b3388dd6.png,1447747516
1021,Paystack,paystack,Winter 2016,Acquired,Modern payments infrastructure for Africa,"Paystack is a small and vibrant family working across Lagos and San Francisco.

We enable businesses to accept payments via credit card, debit card, money transfer, and mobile money, directly from their website or mobile app.",https://www.paystack.com,https://www.ycombinator.com/companies/paystack,"Lagos, LA, Nigeria; LA, Nigeria",115,Fintech,Fintech -> Payments,"Fintech, Payments",Fintech,"Nigeria, Africa, Remote, Partly Remote",Growth,True,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/8f4d18618abc91ad79be53d918a199daffad6f58.png,1447312815
1091,GitPrime,gitprime,Winter 2016,Acquired,Visibility and analytics for software development leaders.,Acquired by Pluralsight in May 2019,https://www.gitprime.com,https://www.ycombinator.com/companies/gitprime,"Durango, CO, USA",110,B2B,"B2B -> Engineering, Product and Design","B2B, Engineering, Product and Design","Developer Tools, SaaS, B2B","United States of America, America / Canada, Remote, Partly Remote",Growth,True,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/b2d3dd198bca90e8788c0aefde72b644504fe75e.png,1450505115
1042,Podium,podium,Winter 2016,Active,Get more leads. Make more money. ,"Podium is the all-in-one AI-powered lead management and communication platform used by more than 100,000 businesses to acquire and convert new customers. At the forefront of Podium’s innovation is its AI employee, who ensures businesses respond to leads instantly, anytime of the day or night—significantly increasing lead conversion rates and revenue.
Podium helps businesses obtain more reviews, rank higher on Google, and consolidate lead channels. Businesses can call and text customers from the web and/or mobile app, send payment links, drive repeat business through bulk messages, and more—all managed and delivered from one easy-to-use dashboard. Additionally, with Podium’s AI Employee and automations, businesses can efficiently handle customer inquiries seamlessly across all communication channels, providing timely and accurate responses that drive sales.
Podium’s innovative work has gained recognition on top industry lists, such as Forbes’ Next Billion Dollar Startups, Forbes’ Cloud 100, the Inc. 5000, and Fast Company’s World’s Most Innovative Companies.
Podium was founded in 2014 and is headquartered in Lehi, Utah. It is currently backed by Accel, Summit Partners, GV (formerly Google Ventures), and Y Combinator.",https://podium.com,https://www.ycombinator.com/companies/podium,"Lehi, UT, USA",1000,B2B,B2B -> Retail,"B2B, Retail","Fintech, SaaS, B2B, AI","United States of America, America / Canada, Remote, Partly Remote",Growth,True,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/d90bc164db5dd25a81e6dcfa222470eadf2c783a.png,1447568415
1103,Rappi,rappi,Winter 2016,Active,On-demand delivery and financial services for Latin America.,"Rappi is a mega high growth, Series B, consumer tech StartUp looking to be the everything store of Latin America. We are a marketplace that connects users who want to purchase prepared foods, groceries, clothes, and more with contractors who fulfil them. Think of Rappi as a Doordarsh meets Delivery meets Instacart. We are venture backed by top VCs in the world including Sequoia, DST, Andreessen Horrowitz and YCombinator. Management consultant skills are highly valued and one of the founders and three of the company's top leaders are former top tier management consultants. We are across Argentina, Brasil, Mexico, Colombia and are aggressively growing in these markets and all throughout LatAm.",http://www.rappi.com,https://www.ycombinator.com/companies/rappi,"Bogotá, Bogota, Colombia",4800,Consumer,Consumer -> Food and Beverage,"Consumer, Food and Beverage","Fintech, Delivery, Latin America","Colombia, Latin America, Remote, Partly Remote",Growth,True,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/44285cf605c3f1d288f2fb7c2f002f859ab92d0b.png,1453256409
999,Focal Systems,focal-systems,Winter 2016,Active,Building the Operating System for B&M Retail using Deep Learning,"Focal Systems is on a mission to lower the cost of living for all mankind by automating and optimizing Brick and Mortar Retail with the latest advancements in AI. Focal Systems is the industry leader in retail automation solutions. By digitizing store shelves hourly and unleashing FocalOS, retailers unlock huge operational efficiencies, optimized merchandising, and streamlined supply chains which deliver impactful financial results. Focal is transforming retail by empowering store management to make automated, data-driven decisions. We are the operating system of retail.",http://www.focal.systems,https://www.ycombinator.com/companies/focal-systems,"San Francisco, CA, USA; Toronto, ON, Canada; London, England, United Kingdom",170,B2B,B2B -> Retail,"B2B, Retail","Deep Learning, Grocery, Computer Vision","United States of America, Canada, United Kingdom, America / Canada, Europe, Remote, Partly Remote",Growth,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/e25ba04ae8686807d958c48f1372502741b4b2e3.png,1447280416
997,Mio,mio,Winter 2016,Active,Mio powers seamless communication between workplace chat apps.,"Mio powers seamless communication between Slack, Microsoft Teams & Webex Teams. The Austin, Texas-based company was founded by Tom Hadfield and James Cundle in November 2015. M.io has raised $12m from investors including Goldcrest Capital, Eniac Ventures, Two Sigma Ventures, Khosla Ventures, Y Combinator and Capital Factory. Ready to sync your teams? Learn more and get started at https://m.io/",http://m.io,https://www.ycombinator.com/companies/mio,"Austin, TX, USA",12,B2B,"B2B -> Engineering, Product and Design","B2B, Engineering, Product and Design","SaaS, Messaging, Team Collaboration","United States of America, America / Canada, Remote, Partly Remote",Growth,False,False,False,"Prompt, Message.io",https://bookface-images.s3.amazonaws.com/small_logos/d2e2140644182cb7ec4a70381a94543d8c8de82a.png,1447280416
