id,name,slug,batch,status,one_liner,long_description,website,ycdc_company_url,all_locations,team_size,industry,subindustry,industries,tags,regions,stage,top_company,isHiring,nonprofit,former_names,small_logo_thumb_url,launched_at
25047,Careerist,careerist,Summer 2021,Active,Learning platform for job seekers with job applications automation,"Careerist is an ed-fintech platform that trains job seekers for tech careers (in QA, Sales, Support & more), finances them and automates their job hunting. Our B2B2C platform aggregates job seekers, tutors and employers – streamlining training and placement.

Techcrunch: ""Edtech meets SaaS in Careerist’s job placement learning platform. The startup trains job seekers through live and self-paced training taught by third-party tutors. The adaptive learning software is meant to help candidates prep for tech interviews. Once a candidate is well equipped, Careerist uses automation to help them apply for jobs.""",http://careerist.cc/,https://www.ycombinator.com/companies/careerist,"San Francisco, CA, USA; Remote",100,Education,Education,Education,"Education, Fintech, Recruiting","United States of America, America / Canada, Remote, Fully Remote",Growth,False,False,False,Careerist (JobEasy Inc),https://bookface-images.s3.amazonaws.com/small_logos/639a74b99945fd44c299d69ed80b3245dcd6d7d2.png,1627410249
24934,JABU,jabu,Summer 2021,Active,"B2B payments, transforming Africa's cash economy","HQ in Namibia and Zambia, Jabu is a fintech startup providing digital wallet solutions to streamline transactions in Africa's cash-dominated economy, enhancing business efficiency and financial integration.",http://www.gojabu.com,https://www.ycombinator.com/companies/jabu,"Cape Town, WC, South Africa; Windhoek, Khomas Region, Namibia",40,Fintech,Fintech -> Payments,"Fintech, Payments",,"South Africa, Namibia, Africa, Remote, Partly Remote",Early,False,True,False,"JABU Logistics Inc, JABU Logistics",https://bookface-images.s3.amazonaws.com/small_logos/56e09091afb3367f2addeb05b958e4146172ceb8.png,1641456087
24926,Revolve Surgical,revolve-surgical,Summer 2021,Active,Surgical robotics for every operating room,Revolve is building the world’s only surgical robot designed for every operating room. Its simple yet powerful design makes it the only robot that can service the 1M+ abdominal surgeries performed outside of hospitals in the US every year.,https://revolvesurgical.com/,https://www.ycombinator.com/companies/revolve-surgical,"Toronto, ON, Canada",8,Healthcare,Healthcare -> Medical Devices,"Healthcare, Medical Devices","Hardware, Medical Robotics, Medical Devices","Canada, America / Canada",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/3432070f3c596c704428f8721684045f22cb0714.png,1628609381
24925,Liv Labs,liv-labs-inc,Summer 2021,Active,Pelvic floor fitness made easy,"Liv Labs (@livlabsfitness) is a US-based, Y Combinator-backed women's wellness innovator. 78 million American women live with pelvic floor weakness and 31M worry daily about leaking. Liv Labs is commercializing the patented Pippa Resistance Spring to boost fitness during exercise and semi-automated self-care coaching to keep them strong and active, lifelong. First orders shipped October 11, 2025.

Pippa inventor, Carly Price, reimagined the humble pillow for Casper and has 41 patents to her name. Company CEO, Melody Roberts, incubated digital service experiences now scaling globally at McDonald's and Panera. Pippa development has been substantially funded by non-dilutive SBIR grants from NIH, NSF, and State of Illinois, based on stellar product effectiveness data and user feedback like, ""With this, surgery is off the table."" ",http://www.livlabsfitness.com,https://www.ycombinator.com/companies/liv-labs-inc,"Chicago, IL, USA; Remote",1,Healthcare,Healthcare -> Consumer Health and Wellness,"Healthcare, Consumer Health and Wellness","Hardware, Consumer Health Services, Women's Health, Consumer Products","United States of America, America / Canada, Remote, Fully Remote",Early,False,False,False,Liv Labs Inc.,https://bookface-images.s3.amazonaws.com/small_logos/d04ff6a19ab10afb3e0382e2123517645c7ed8f5.png,1628991585
24915,Mecho Autotech,mecho-autotech,Summer 2021,Active,On-demand  auto maintenance & repairs,"It is cumbersome to maintain/repair vehicles in Africa. Vehicle owners currently have 2 options to choose from; very expensive and geographically limited branded mechanic garages (less than 1% of the supply pool) or unvetted roadside mechanics (about 99% of the supply pool). 

About 95% of vehicle owners cannot afford branded garages where quality and reliable service delivery can be guaranteed and thus rely on roadside mechanics. However, low quality and transparency are typical issues associated with roadside mechanics. 

We created a network of vetted mechanics, spare part vendors and an app that enables easy booking, payment and mechanic matching process. Via the mecho app, a customer or business can make a request for any automobile service (repairs or regular servicing) or part. 



",https://mechoautotech.com/,https://www.ycombinator.com/companies/mecho-autotech,"Atlanta, GA, USA; LA, Nigeria",35,Industrials,Industrials -> Automotive,"Industrials, Automotive","Auto Commerce, Marketplace, E-commerce","United States of America, Nigeria, America / Canada, Africa",Early,False,False,False,Mecho Autotech Ltd,https://bookface-images.s3.amazonaws.com/small_logos/3354e34489d56a59c364c92cbf7d65cfee364055.png,1624544851
24914,Sully.ai,sully-ai,Summer 2021,Active,Autonomous team of AI agents that runs the entire hospital operations,"Sully.ai is printing labor for health systems by building a team of autonomous AI agents to run the entire hospital operations. The autonomous agents run like ClawdBot in the background (Receptionists, Medical Consultant, Triage Nurse, Scribes, Coders) collaborate to execute entire workflows. Replacing the $800B labor doing all the manual work at hospitals.",https://www.sully.ai,https://www.ycombinator.com/companies/sully-ai,"San Francisco, CA, USA",49,B2B,B2B -> Productivity,"B2B, Productivity","Artificial Intelligence, SaaS, Health Tech, B2B, Healthcare","United States of America, America / Canada, Remote, Partly Remote",Early,False,True,False,Odiggo,https://bookface-images.s3.amazonaws.com/small_logos/9050d789232441d310c7b2bc53166a978e1f735d.png,1624955795
24913,Beau,beau,Summer 2021,Active,Workflows for repetitive customer-facing tasks,"Beau helps to work with people outside your company: build, visualize, and automate your customer-facing processes! 🔥 All with one, easy-to-use solution: collect forms, accept payments, keep updated, request details, and approve steps!",https://beau.to,https://www.ycombinator.com/companies/beau,"Barcelona, CT, Spain; CT, Spain; Remote",5,B2B,B2B -> Operations,"B2B, Operations","SaaS, B2B, Productivity, Customer Success, Collaboration","Spain, Europe, Remote, Fully Remote",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/490af3b3db6da49a5b8d11c3a79ffeee287b7747.png,1626708555
24907,Toku,toku,Summer 2021,Active,Account Receivables Platform for Latin American Enterprises,"Toku helps companies increase their monthly revenue collection rate so they can focus on the their main business. Payment method management, failed payment retries, payment reminders, failed payment notifications, among others.",https://trytoku.com/,https://www.ycombinator.com/companies/toku,"Mexico City, CDMX, Mexico",150,B2B,B2B -> Finance and Accounting,"B2B, Finance and Accounting","FinOps, Fintech, SaaS, Payments, Subscriptions","Mexico, Latin America",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/ecd9035c05570df39ab2d459dd2547e334bc92f0.png,1626099984
24893,Exa,exa,Summer 2021,Active,Web search rebuilt for LLMs,Exa is a search engine built for AIs. We enable developers to filter the internet's content with complex queries in order to bring the world's knowledge into their AI apps.,https://exa.ai,https://www.ycombinator.com/companies/exa,"San Francisco, CA, USA",75,B2B,B2B,B2B,"Developer Tools, Search, AI, APIs","United States of America, America / Canada",Growth,False,False,False,"Exa Search, Metaphor",https://bookface-images.s3.amazonaws.com/small_logos/9a54e5c11b9f296fb3be7980c9aaaf6ddd2f0c8c.png,1628280127
24892,Safer Management,safer-management,Summer 2021,Active,Student Attendance tracking for Public Schools,"Safer Management sells attendance software to public school districts and colleges. Public schools receive federal funding based on their average daily attendance, and our software ensures they get the money they need.

We started Safer Mgmt. 12 months ago after I dropped off my twin boys and experienced inefficiencies with the sign-in process. We are now in 75 public schools and two colleges with annual reoccurring revenue of $621,000. We have 82% margins and are profitable. At scale, we will charge $15 per student per year. 

There are 70 million public school students in America which is a $1.4 billion dollar market opportunity.",https://www.safermgmt.com/,https://www.ycombinator.com/companies/safer-management,"Dallas, TX, USA",5,B2B,B2B,B2B,"Artificial Intelligence, Education, Machine Learning","United States of America, America / Canada, Remote, Partly Remote",Growth,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/30ad58fe2e47b7bd28702a2603013a87e5e354bc.png,1625084786
