Batch,Company,Founder_or_company,LinkedIn,Twitter,Github
Summer_2026,Tsenta,Pulkit Gupta,https://www.linkedin.com/in/pulkitgupta712/,https://x.com/pulkit_gupta2,
Summer_2026,Tsenta,Agnay Srivastava,https://www.linkedin.com/in/agnay,https://x.com/AgnaySrivastava,
Summer_2026,Tsenta,Tsenta,https://www.linkedin.com/company/tsenta/,https://x.com/TsentaAi,
Winter_2026,Pirislabs,Ali Khalatpour,https://www.linkedin.com/in/alikhalatpour,,
Winter_2026,Pirislabs,Keyvan Moghadam,https://www.linkedin.com/in/keyvanrm/,,
Winter_2026,Pirislabs,Piris Labs,https://www.linkedin.com/company/110912035,https://x.com/PirisLabs,
Winter_2026,Verdex,Jad Bousselham,https://www.linkedin.com/in/jad-bousselham/,,
Winter_2026,Verdex,Evan Rankin,https://www.linkedin.com/in/evan-rankin-/,,
Winter_2026,Verdex,Verdex,https://www.linkedin.com/company/verdexai/,,
Winter_2026,Ritivel,Nirmit Arora,https://www.linkedin.com/in/nirmitarora,https://x.com/NirmitArora26,
Winter_2026,Ritivel,Gunin Gupta,https://www.linkedin.com/in/guningupta/,,
Winter_2026,Ritivel,Pavan Kalyan (a.k.a PK) Tankala,https://www.linkedin.com/in/tankalapavankalyan/,https://x.com/tpavankalyan23,
Winter_2026,Ritivel,Ritivel,https://www.linkedin.com/company/ritivel,https://x.com/ritivel,
Winter_2026,Emdash,Arne Strickmann,https://www.linkedin.com/in/arnestrickmann,https://x.com/arnestrickmann,
Winter_2026,Emdash,Raban von Spiegel,https://linkedin.com/in/raban,https://x.com/rabanspiegel,
Winter_2026,Emdash,Emdash,https://linkedin.com/in/emdashsh,https://x.com/emdashsh,https://x.com/emdashsh
Winter_2026,Velum_Labs,Benjamin Muñoz-Cerro,https://www.linkedin.com/in/benjamzc/,,
Winter_2026,Velum_Labs,Alen Rubilar-Muñoz,https://www.linkedin.com/in/000alen/,https://x.com/000alen,
Winter_2026,Velum_Labs,Velum Labs,https://www.linkedin.com/company/velum-labs-ai,https://x.com/velum_ai,
Winter_2026,Skillsync,Narayana Aaditya Ganeshkumar,https://www.linkedin.com/in/narayanaaaditya/,https://x.com/narsagna,
Winter_2026,Skillsync,Nishant Joshi,https://www.linkedin.com/in/nishantjosh,https://x.com/nishantjosh,
Winter_2026,Skillsync,Skillsync,https://www.linkedin.com/company/skillsync-wiki/,,
Winter_2026,Sequence_Markets,Muhammad Awan,https://www.linkedin.com/in/muhammad-awan0,,
Winter_2026,Sequence_Markets,Peter Bai,https://www.linkedin.com/in/peter-bai/,,
Winter_2026,Sequence_Markets,Sequence Markets,https://www.linkedin.com/company/sequence-markets,,
Winter_2026,Sitefire,Vincent Jeltsch,https://www.linkedin.com/in/vincent-jeltsch/,,
Winter_2026,Sitefire,Jochen Madler,https://www.linkedin.com/in/jochen-madler/,https://x.com/jochenmadler,
Winter_2026,Sitefire,sitefire,https://www.linkedin.com/company/gpt-pulse,,https://github.com/pulse-energy-eu
Winter_2026,Stilta,Oscar Adamsson,https://www.linkedin.com/in/oscaradamsson/,,
Winter_2026,Stilta,Oskar Block,https://www.linkedin.com/in/oskarblock,https://x.com/blockenbetting,
